"State","Year","Week","Predicted_Deaths"
"Alaska",2023,2,85.871139222304
"Alaska",2023,3,85.871139222296
"Alaska",2023,4,85.8711392222892
"Alaska",2023,5,85.8711392222833
"Alaska",2023,6,85.8711392222783
"Alaska",2023,7,85.871139222274
"Alaska",2023,8,85.8711392222703
"Alaska",2023,9,85.8711392222671
"Alaska",2023,10,85.8711392222644
"Alaska",2023,11,85.8711392222621
"Alaska",2023,12,85.8711392222601
"Alaska",2023,13,85.8711392222584
"Alaska",2023,14,85.8711392222569
"Alaska",2023,15,85.8711392222556
"Alaska",2023,16,85.8711392222546
"Alaska",2023,17,85.8711392222537
"Alaska",2023,18,85.8711392222529
"Alaska",2023,19,85.8711392222522
"Alaska",2023,20,85.8711392222516
"Alaska",2023,21,85.8711392222511
"Alaska",2023,22,85.8711392222507
"Alaska",2023,23,85.8711392222503
"Alaska",2023,24,85.87113922225
"Alaska",2023,25,85.8711392222498
"Alaska",2023,26,85.8711392222495
"Alaska",2023,27,85.8711392222493
"Alaska",2023,28,85.8711392222492
"Alaska",2023,29,85.871139222249
"Alaska",2023,30,85.8711392222489
"Alaska",2023,31,85.8711392222488
"Alaska",2023,32,85.8711392222487
"Alaska",2023,33,85.8711392222486
"Alaska",2023,34,85.8711392222486
"Alaska",2023,35,85.8711392222485
"Alaska",2023,36,85.8711392222485
"Alaska",2023,37,85.8711392222484
"Alaska",2023,38,85.8711392222484
"Alaska",2023,39,85.8711392222483
"Alaska",2023,40,85.8711392222483
"Alaska",2023,41,85.8711392222483
"Alaska",2023,42,85.8711392222483
"Alaska",2023,43,85.8711392222483
"Alaska",2023,44,85.8711392222482
"Alaska",2023,45,85.8711392222482
"Alaska",2023,46,85.8711392222482
"Alaska",2023,47,85.8711392222482
"Alaska",2023,48,85.8711392222482
"Alaska",2023,49,85.8711392222482
"Alaska",2023,50,85.8711392222482
"Alaska",2023,51,85.8711392222482
"Alaska",2023,52,85.8711392222482
"Arizona",2020,1,1394.25635151278
"Arizona",2020,2,1412.08798673611
"Arizona",2020,3,1318.44452033243
"Arizona",2020,4,1314.38776420376
"Arizona",2020,5,1306.89034724513
"Arizona",2020,6,1270.42057205309
"Arizona",2020,7,1232.57451768117
"Arizona",2020,8,1279.92159079009
"Arizona",2020,9,1290.69025479703
"Arizona",2020,10,1301.47124239184
"Arizona",2020,11,1274.39455668531
"Arizona",2020,12,1249.43339432782
"Arizona",2020,13,1255.0228307665
"Arizona",2020,14,1285.85462554263
"Arizona",2020,15,1292.9978041673
"Arizona",2020,16,1203.32136844836
"Arizona",2020,17,1201.71966387135
"Arizona",2020,18,1198.64368615029
"Arizona",2020,19,1208.17658808855
"Arizona",2020,20,1130.18454725579
"Arizona",2020,21,1133.62000932352
"Arizona",2020,22,1151.24373963789
"Arizona",2020,23,1117.90693004303
"Arizona",2020,24,1186.51971797582
"Arizona",2020,25,1100.40333987019
"Arizona",2020,26,1153.16810399566
"Arizona",2020,27,1137.43253024096
"Arizona",2020,28,1147.97981682708
"Arizona",2020,29,1167.15194185927
"Arizona",2020,30,1111.4477262052
"Arizona",2020,31,1122.73853559528
"Arizona",2020,32,1099.60672261823
"Arizona",2020,33,1087.86550119847
"Arizona",2020,34,1109.96824075512
"Arizona",2020,35,1150.36460815145
"Arizona",2020,36,1155.37842838806
"Arizona",2020,37,1086.76050830768
"Arizona",2020,38,1109.54751444713
"Arizona",2020,39,1159.49451371748
"Arizona",2020,40,1094.65466950508
"Arizona",2020,41,1116.05914670851
"Arizona",2020,42,1159.78797739088
"Arizona",2020,43,1087.23212836451
"Arizona",2020,44,1118.75261690156
"Arizona",2020,45,1225.61946639925
"Arizona",2020,46,1190.88154922001
"Arizona",2020,47,1215.96158502263
"Arizona",2020,48,1174.58346734542
"Arizona",2020,49,1245.8858538862
"Arizona",2020,50,1210.70809402046
"Arizona",2020,51,1251.16992288056
"Arizona",2020,52,1241.40144107237
"Arizona",2021,1,1414.39952930356
"Arizona",2021,2,1428.38452167894
"Arizona",2021,3,1341.99016584983
"Arizona",2021,4,1332.73149618314
"Arizona",2021,5,1311.51303908516
"Arizona",2021,6,1282.6522750693
"Arizona",2021,7,1256.06354425939
"Arizona",2021,8,1336.36146740521
"Arizona",2021,9,1317.61329507277
"Arizona",2021,10,1322.82748686928
"Arizona",2021,11,1318.43295144199
"Arizona",2021,12,1270.37057088921
"Arizona",2021,13,1290.51207439796
"Arizona",2021,14,1313.5771797122
"Arizona",2021,15,1348.09782765243
"Arizona",2021,16,1232.14729006526
"Arizona",2021,17,1235.59874128841
"Arizona",2021,18,1226.02256275763
"Arizona",2021,19,1242.72775661365
"Arizona",2021,20,1177.79883541201
"Arizona",2021,21,1170.59136171496
"Arizona",2021,22,1203.1877751422
"Arizona",2021,23,1140.81562127782
"Arizona",2021,24,1212.64593066961
"Arizona",2021,25,1126.1446885079
"Arizona",2021,26,1185.54520342811
"Arizona",2021,27,1170.56556381337
"Arizona",2021,28,1197.42548742263
"Arizona",2021,29,1196.48721062921
"Arizona",2021,30,1132.81421349387
"Arizona",2021,31,1147.89833589753
"Arizona",2021,32,1136.14830920483
"Arizona",2021,33,1125.1654817814
"Arizona",2021,34,1132.85022793718
"Arizona",2021,35,1193.54494152296
"Arizona",2021,36,1205.95714119935
"Arizona",2021,37,1107.55520957713
"Arizona",2021,38,1140.01714906608
"Arizona",2021,39,1203.05381922173
"Arizona",2021,40,1141.62864169955
"Arizona",2021,41,1159.80807756543
"Arizona",2021,42,1195.37951218929
"Arizona",2021,43,1099.11035665205
"Arizona",2021,44,1163.07061057284
"Arizona",2021,45,1281.31982891776
"Arizona",2021,46,1235.57893892475
"Arizona",2021,47,1262.3663264054
"Arizona",2021,48,1196.32638506612
"Arizona",2021,49,1278.82144104262
"Arizona",2021,50,1244.59221074856
"Arizona",2021,51,1256.97750468847
"Arizona",2021,52,1275.8546742493
"Arizona",2022,1,1452.88522567495
"Arizona",2022,2,1468.54563440378
"Arizona",2022,3,1378.99390761908
"Arizona",2022,4,1372.00094635199
